Model,Accuracy,Precision,Recall,F1
Decision Tree,0.9894,0.7442,0.9796,0.8458
KNN,0.9903,0.8929,0.7653,0.8242
Random Forest,0.9316,0.3009,0.9796,0.4604
LightGBM,0.8984,0.2256,0.9898,0.3674
Gradient Boosting,0.8863,0.2051,0.9796,0.3392
LSTM,0.8877,0.2052,0.9592,0.3381
Extra Trees,0.8799,0.1988,1.0,0.3316
ANN (Optuna),0.8869,0.2009,0.9388,0.3309
CNN-LSTM,0.8861,0.2004,0.9388,0.3303
CatBoost,0.8756,0.1921,0.9898,0.3217
ANN,0.8732,0.1842,0.949,0.3085
XGBoost,0.8507,0.1664,1.0,0.2853
RNN,0.8501,0.1618,0.9592,0.2769
CNN-1D,0.8434,0.1524,0.9286,0.2619
LSTM (Optuna),0.8284,0.1485,1.0,0.2586
BiLSTM,0.8208,0.1431,1.0,0.2503
SVR (Optuna),0.8382,0.1443,0.898,0.2486
SVR,0.8273,0.1418,0.949,0.2467
Lasso Regression,0.8114,0.1293,0.9286,0.2269
Linear Regression,0.8114,0.1293,0.9286,0.2269
Ridge Regression,0.8111,0.1291,0.9286,0.2267
XGB (Optuna),0.7777,0.1182,1.0,0.2114
RF (Optuna),0.7792,0.118,0.9898,0.2109
